position,team_id,team_name,points,year
1,1,Red Bull Racing RBPT,759,2022
2,1,Red Bull Racing Honda,585.5,2021
2,1,Red Bull Racing Honda,319,2020
3,1,Red Bull Racing Honda,417,2019
3,1,Red Bull Racing TAG Heuer,419,2018
3,1,Red Bull Racing TAG Heuer,368,2017
2,1,Red Bull Racing TAG Heuer,468,2016
4,1,Red Bull Racing Renault,187,2015
2,1,Red Bull Racing Renault,405,2014
1,1,Red Bull Racing Renault,596,2013
1,1,Red Bull Racing Renault,460,2012
1,1,Red Bull Racing Renault,650,2011
1,1,Red Bull Racing,498,2010
